ID,Construction_ID,Parameter_ID,Code_ID,Value,Source,Comment,Example_IDs
1-target-meaning-type,1,target-meaning-type,target-meaning-type-tense,TENSE,,,
1-source,1,source,,'love' (in PRESENT),,*kām-,23055-kam-kvm-future
1-value-semantic-integrity,1,value-semantic-integrity,value-semantic-integrity-3,3,,,
1-value-phonetic-reduction,1,value-phonetic-reduction,value-phonetic-reduction-2,2,,,
1-value-paradigmaticity,1,value-paradigmaticity,value-paradigmaticity-3,3,,,
1-value-bondedness,1,value-bondedness,value-bondedness-1,1,,,
1-value-paradigmatic-variability,1,value-paradigmatic-variability,value-paradigmatic-variability-3,3,,,
1-value-syntagmatic-variability,1,value-syntagmatic-variability,value-syntagmatic-variability-3,3,,,
1-value-decategorization,1,value-decategorization,value-decategorization-3,3,,,
1-value-allomorphy,1,value-allomorphy,value-allomorphy-1,1,,,
1-change-semantic-integrity,1,change-semantic-integrity,change-semantic-integrity-1,1,,,
1-change-phonetic-reduction,1,change-phonetic-reduction,change-phonetic-reduction-0,0,,,
1-change-paradigmaticity,1,change-paradigmaticity,change-paradigmaticity-1,1,,,
1-change-bondedness,1,change-bondedness,change-bondedness-0,0,,,
1-change-paradigmatic-variability,1,change-paradigmatic-variability,change-paradigmatic-variability-1,1,,,
1-change-syntagmatic-variability,1,change-syntagmatic-variability,change-syntagmatic-variability-1,1,,,
1-change-decategorization,1,change-decategorization,change-decategorization-1,1,,,
1-change-allomorphy,1,change-allomorphy,change-allomorphy-0,0,,,
2-target-meaning-type,2,target-meaning-type,target-meaning-type-aspect,ASPECT,,,
2-source,2,source,,'do' (.PARTICIPLE),,done,10031-done-done-completive
2-path-comment,2,path-comment,,"< do (English); Lisa Green. 2013. African American English structure dataset.
In: Michaelis, Susanne Maria & Maurer, Philippe & Haspelmath, Martin & Huber, Magnus (eds.)
Atlas of Pidgin and Creole Language Structures Online.",,,
2-value-semantic-integrity,2,value-semantic-integrity,value-semantic-integrity-3,3,,,
2-value-phonetic-reduction,2,value-phonetic-reduction,value-phonetic-reduction-2,2,,,
2-value-paradigmaticity,2,value-paradigmaticity,value-paradigmaticity-3,3,,,
2-value-bondedness,2,value-bondedness,value-bondedness-1,1,,,
2-value-paradigmatic-variability,2,value-paradigmatic-variability,value-paradigmatic-variability-3,3,,,
2-value-syntagmatic-variability,2,value-syntagmatic-variability,value-syntagmatic-variability-3,3,,,
2-value-decategorization,2,value-decategorization,value-decategorization-4,4,,,
2-value-allomorphy,2,value-allomorphy,value-allomorphy-1,1,,,
2-change-semantic-integrity,2,change-semantic-integrity,change-semantic-integrity-1,1,,,
2-change-phonetic-reduction,2,change-phonetic-reduction,change-phonetic-reduction-0,0,,,
2-change-paradigmaticity,2,change-paradigmaticity,change-paradigmaticity-1,1,,,
2-change-bondedness,2,change-bondedness,change-bondedness-0,0,,,
2-change-paradigmatic-variability,2,change-paradigmatic-variability,change-paradigmatic-variability-1,1,,,
2-change-syntagmatic-variability,2,change-syntagmatic-variability,change-syntagmatic-variability-1,1,,,
2-change-decategorization,2,change-decategorization,change-decategorization-1,1,,,
2-change-allomorphy,2,change-allomorphy,change-allomorphy-0,0,,,
3-target-meaning-type,3,target-meaning-type,,CASE/ADPOSITION,,,
3-source,3,source,,(-POSTESSIVE) 'possess' ('being in POSSESSION'),,(-q) qaj,11002-qqaj-qaj-comitative
3-path-comment,3,path-comment,,"the development can be paraphrased as ""in X's possession being"" > ""with X""",,,
3-value-semantic-integrity,3,value-semantic-integrity,value-semantic-integrity-4,4,,,
3-value-phonetic-reduction,3,value-phonetic-reduction,value-phonetic-reduction-2,2,,,
3-value-paradigmaticity,3,value-paradigmaticity,value-paradigmaticity-4,4,,,
3-value-bondedness,3,value-bondedness,value-bondedness-3,3,,,
3-value-paradigmatic-variability,3,value-paradigmatic-variability,value-paradigmatic-variability-4,4,,,
3-value-syntagmatic-variability,3,value-syntagmatic-variability,value-syntagmatic-variability-4,4,,,
3-value-decategorization,3,value-decategorization,value-decategorization-4,4,,,
3-value-allomorphy,3,value-allomorphy,value-allomorphy-1,1,,,
3-change-semantic-integrity,3,change-semantic-integrity,change-semantic-integrity-1,1,,,
3-change-phonetic-reduction,3,change-phonetic-reduction,change-phonetic-reduction-0,0,,,
3-change-paradigmaticity,3,change-paradigmaticity,change-paradigmaticity-1,1,,,
3-change-bondedness,3,change-bondedness,change-bondedness-1,1,,,
3-change-paradigmatic-variability,3,change-paradigmatic-variability,change-paradigmatic-variability-1,1,,,
3-change-syntagmatic-variability,3,change-syntagmatic-variability,change-syntagmatic-variability-1,1,,,
